LON,LAT,VARIABLE,TYPE,NAME,Name_Database,Paper_Database,Code_Proxy,Reference_Proxy,Reference_Proxy_Database
27.25,68.83333333,natural_proxy,tree_proxy,B14_europe_finl021.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Europe finl021.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
6.683333333,45.21666667,natural_proxy,tree_proxy,B14_europe_fran012.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Europe fran012.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
13,47.66666667,natural_proxy,tree_proxy,B14_europe_germ019.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Europe germ019.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
8,53,natural_proxy,tree_proxy,B14_europe_germ6.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Europe germ6.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
17.21666667,69.08333333,natural_proxy,tree_proxy,B14_europe_norw009.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Europe norw009.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
15.73333333,68.8,natural_proxy,tree_proxy,B14_europe_norw010.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Europe norw010.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
19.66666667,68.23333333,natural_proxy,tree_proxy,B14_europe_swed019w.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Europe swed019w.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
11,48.5,historical_proxy,documentary_proxy,Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_OCTTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Dobrovolny et al. 2010,NA
10,51,historical_proxy,documentary_proxy,Central_Europe_(Germany)_temp_index_(GlaserRiemann)_OCTTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Glaser and Riemann 2009,NA
19.45,51.77,natural_proxy,documentary_proxy,Poland_TRecon_OctTRecon,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Klimat Krakowa w XX wieku 2007,NA
