"LON","LAT","VARIABLE","TYPE","NAME","Name_Database","Paper_Database","Code_Proxy","Reference_Proxy","Reference_Proxy_Database"
2.6667,48.3833,"natural_proxy","tree_proxy","ISO2k_TR16LAFO_bsummer","ISO2k","https://doi.org/10.5194/essd-12-2261-2020","TR16LAFO","Labuhn, I., Daux, V., Girardclos, O., Stievenard, M., Pierre, M. and Masson-Delmotte, V.: French summer droughts since 1326 CE: a reconstruction based on tree ring cellulose δ18O, Climate of the Past, 12(5), 1101–1117, doi:10.5194/cp-12-1101-2016, 2016.","https://doi.org/10.25921/57j8-vs18"
18.2,66.3,"natural_proxy","tree_proxy","P2k_Arc-Arjeplog.Bjorklund.2014_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Arc-Arjeplog.Bjorklund.2014","Bjorklund, J.A. et al. 0","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
28.325,62,"natural_proxy","tree_proxy","P2k_Eur-FinnishLakes.Helama.2014_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Eur-FinnishLakes.Helama.2014","Helama, S. et al. 2014","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
25,68,"natural_proxy","tree_proxy","P2k_Eur-NScan.Esper.2012_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Eur-NScan.Esper.2012","Esper, J. et al. 2012","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
10.7,47,"natural_proxy","tree_proxy","P2k_Eur-CentralEu.Buntgen.2011_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Eur-CentralEu.Buntgen.2011","Büntgen, U. et al. 2012","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
7.8,46.4,"natural_proxy","tree_proxy","P2k_Eur-Lotschental.Buentgen.2006_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Eur-Lotschental.Buentgen.2006","Büntgen, U. et al. 2006","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
1,42.5,"natural_proxy","tree_proxy","P2k_Eur-SPyrenees.Linan.2012_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Eur-SPyrenees.Linan.2012","Dorado-Linan, I. et al. 2012","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
15.73,68.73,"natural_proxy","tree_proxy","P2k_Arc-McCarrol.Forfjordalen.2013_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Arc-McCarrol.Forfjordalen.2013","McCarroll, D. et al. 0","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
27.33333333,68.49166667,"natural_proxy","tree_proxy","P2k_Arc-McCarroll.Laanila.2013_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Arc-McCarroll.Laanila.2013","Lindholm, M. et al. 0","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
19.6,68.26,"natural_proxy","tree_proxy","P2k_Arc-Tornetrask.Melvin.2013_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Arc-Tornetrask.Melvin.2013","Melvin, T.M. et al. 2013","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
13.3375,63.2475,"natural_proxy","tree_proxy","P2k_Arc-Zhang.Jamtland.2016_bsummer","PAGES2k","https://doi.org/10.1038/sdata.2017.88","Arc-Zhang.Jamtland.2016","Wilson, R.J.S. et al. 2016","https://doi.org/10.6084/m9.figshare.c.3285353.v2"
27.25,68.8333333333333,"natural_proxy","tree_proxy","B14_europe_finl021.rwl","Breitenmoser 2014","https://doi.org/10.5194/cp-10-437-2014","Europe finl021.rwl",NA,"http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data"
6.68333333333333,45.2166666666667,"natural_proxy","tree_proxy","B14_europe_fran012.rwl","Breitenmoser 2014","https://doi.org/10.5194/cp-10-437-2014","Europe fran012.rwl",NA,"http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data"
13,47.6666666666667,"natural_proxy","tree_proxy","B14_europe_germ019.rwl","Breitenmoser 2014","https://doi.org/10.5194/cp-10-437-2014","Europe germ019.rwl",NA,"http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data"
8,53,"natural_proxy","tree_proxy","B14_europe_germ6.rwl","Breitenmoser 2014","https://doi.org/10.5194/cp-10-437-2014","Europe germ6.rwl",NA,"http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data"
17.2166666666667,69.0833333333333,"natural_proxy","tree_proxy","B14_europe_norw009.rwl","Breitenmoser 2014","https://doi.org/10.5194/cp-10-437-2014","Europe norw009.rwl",NA,"http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data"
15.7333333333333,68.8,"natural_proxy","tree_proxy","B14_europe_norw010.rwl","Breitenmoser 2014","https://doi.org/10.5194/cp-10-437-2014","Europe norw010.rwl",NA,"http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data"
19.6666666666667,68.2333333333333,"natural_proxy","tree_proxy","B14_europe_swed019w.rwl","Breitenmoser 2014","https://doi.org/10.5194/cp-10-437-2014","Europe swed019w.rwl",NA,"http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data"
